# nro,Area1,Area2,Area3,Area4
1.000000000000000000e+00, 8.615775000000000000e+05, 6.804070000000000000e+05, 9.999430000000000000e+05, 3.735955000000000000e+05
2.000000000000000000e+00, 7.777645000000000000e+05, 6.802665000000000000e+05, 1.013391500000000000e+06, 4.176905000000000000e+05
3.000000000000000000e+00, 6.619390000000000000e+05, 6.335810000000000000e+05, 1.001593500000000000e+06, 4.371915000000000000e+05
4.000000000000000000e+00, 4.942965000000000000e+05, 3.547475000000000000e+05, 5.939830000000000000e+05, 6.901970000000000000e+05
5.000000000000000000e+00, 1.007897000000000000e+06, 7.438665000000000000e+05, 1.160173000000000000e+06, 7.663090000000000000e+05
6.000000000000000000e+00, 1.090384500000000000e+06, 5.758430000000000000e+05, 1.297863000000000000e+06, 7.346090000000000000e+05
7.000000000000000000e+00, 1.034822500000000000e+06, 5.749660000000000000e+05, 1.721639000000000000e+06, 7.303990000000000000e+05
8.000000000000000000e+00, 9.830640000000000000e+05, 5.428985000000000000e+05, 2.161321000000000000e+06, 7.033545000000000000e+05
9.000000000000000000e+00, 9.331705000000000000e+05, 4.819385000000000000e+05, 2.209964000000000000e+06, 6.785435000000000000e+05
1.000000000000000000e+01, 8.546290000000000000e+05, 4.806215000000000000e+05, 1.924268000000000000e+06, 6.934150000000000000e+05
1.100000000000000000e+01, 7.853120000000000000e+05, 4.601600000000000000e+05, 1.586859000000000000e+06, 6.817275000000000000e+05
1.200000000000000000e+01, 1.071947500000000000e+06, 7.619315000000000000e+05, 1.931548000000000000e+06, 1.117951000000000000e+06
1.300000000000000000e+01, 1.554731000000000000e+06, 8.194120000000000000e+05, 2.408561000000000000e+06, 9.132800000000000000e+05
1.400000000000000000e+01, 1.216367500000000000e+06, 7.746285000000000000e+05, 1.529538000000000000e+06, 8.695150000000000000e+05
1.500000000000000000e+01, 1.044044000000000000e+06, 7.201840000000000000e+05, 1.224833500000000000e+06, 8.879675000000000000e+05
1.600000000000000000e+01, 2.352027000000000000e+06, 9.725535000000000000e+05, 2.170592000000000000e+06, 8.448720000000000000e+05
1.700000000000000000e+01, 1.931397000000000000e+06, 6.082930000000000000e+05, 1.550203000000000000e+06, 6.907115000000000000e+05
1.800000000000000000e+01, 1.302351500000000000e+06, 5.571930000000000000e+05, 1.114940000000000000e+06, 6.085420000000000000e+05
1.900000000000000000e+01, 1.025788500000000000e+06, 5.488705000000000000e+05, 9.675180000000000000e+05, 6.397650000000000000e+05
2.000000000000000000e+01, 1.186077000000000000e+06, 5.714970000000000000e+05, 8.495695000000000000e+05, 6.240610000000000000e+05
