# nro,promedio_std1,promedio_std2,promedio_std3,promedio_std4
1.000000000000000000e+00, 8.051004042878410871e+00, 9.942205426215632968e+00, 1.796889665586417806e+01, 9.282677757251164508e+00
2.000000000000000000e+00, 3.991607186167780430e+00, 2.100822863334597557e+01, 1.218011602071548793e+01, 1.382699742620412309e+01
3.000000000000000000e+00, 4.995144259890938798e+00, 4.291253525999478846e+00, 1.456105167678071943e+01, 9.142202429709181288e+00
4.000000000000000000e+00, 1.594210254367623492e+01, 1.233947260659414091e+01, 7.077710514933021280e+00, 3.230382512140738527e+01
5.000000000000000000e+00, 2.697276289529565929e+01, 1.701906605021527952e+01, 1.312538244190464454e+01, 1.810126845329953227e+01
6.000000000000000000e+00, 1.199003695090304511e+01, 7.573551662477266966e+00, 1.034471186869635595e+01, 8.364703639520254086e+00
7.000000000000000000e+00, 9.579671157900845557e+00, 2.913950560550187863e+00, 5.843857141917209397e+00, 4.972134648766473930e+00
8.000000000000000000e+00, 2.732315327782498215e+01, 1.013168390259776608e+01, 6.265380687926937142e+00, 4.797654554352734024e+00
9.000000000000000000e+00, 1.224388959983325620e+01, 6.275139086258231025e+00, 1.318555174935223206e+01, 1.140591243463037507e+01
1.000000000000000000e+01, 4.430962777220263327e+00, 5.748160971497414451e+00, 1.575539975425924766e+01, 2.561630316077589065e+00
1.100000000000000000e+01, 1.873657878805382992e+01, 1.210773809208943241e+01, 2.951069716270909638e+01, 4.720219666562303473e+01
1.200000000000000000e+01, 1.972068392872974840e+01, 3.754252562072058819e+00, 2.529439571892081773e+01, 1.029156008989432358e+01
1.300000000000000000e+01, 6.990877133376737440e+00, 7.530681722449743631e+01, 2.354438673719906916e+01, 7.142203017373959462e+00
1.400000000000000000e+01, 5.914424124628807178e+00, 1.934785240145893681e+01, 8.340723610318219627e+00, 5.286097625595693295e+00
1.500000000000000000e+01, 4.871655057227169294e+00, 7.593913646046006605e+00, 8.753103850950292752e+00, 1.517941027253262298e+01
1.600000000000000000e+01, 1.611959373256560468e+01, 7.847317361911475331e+00, 2.702988706114975059e+01, 1.718874246737372147e+01
1.700000000000000000e+01, 6.720401439317530645e+00, 2.950449184047697315e+01, 1.053739062373632862e+01, 3.919487793859236291e+01
1.800000000000000000e+01, 1.969330732733406109e+01, 1.003081681490597887e+01, 4.487765225130920044e+01, 1.859699048784425912e+01
1.900000000000000000e+01, 4.640838257347412288e+00, 2.084465945738248394e+00, 8.699720019844042085e+00, 5.532059419786828691e+00
2.000000000000000000e+01, 3.701959293991274880e+00, 1.574643776904471437e+00, 1.239199896896326081e+01, 6.744380320070346713e+00
2.100000000000000000e+01, 1.569136132316354271e+01, 1.801325181811418474e+01, 4.550185840700041062e+00, 8.460447792094749175e+00
2.200000000000000000e+01, 1.445218386598918059e+01, 5.411376075834105848e+00, 5.727561715263354891e+00, 1.628518945637885196e+01
2.300000000000000000e+01, 4.273888705866197846e+00, 1.115712201245963620e+01, 8.093515371387871582e+00, 4.759484277380771289e+00
2.400000000000000000e+01, 4.354401113925796984e+00, 2.685330827941587728e+00, 2.951947326329462218e+00, 1.142357320988379854e+01
2.500000000000000000e+01, 3.600349111889405318e+00, 9.391251806000045832e+00, 1.161228885017155932e+01, 1.418183430538068279e+00
2.600000000000000000e+01, 3.064336070149677571e+00, 1.776025178945138094e+01, 1.722413954221591492e+00, 6.081909608143964974e+00
2.700000000000000000e+01, 6.927633039234930123e+00, 9.452044561270213308e+00, 3.638146877832575399e+00, 6.747575438303431206e+00
2.800000000000000000e+01, 3.338782719106341279e+00, 3.069381339073359083e+00, 1.558488864632163073e+00, 6.855022184366616145e+00
2.900000000000000000e+01, 5.160957276624744239e+00, 4.618863664962217896e+00, 1.649975152510201770e+00, 6.965214943816067539e+00
3.000000000000000000e+01, 1.246313779910338049e+01, 6.591065762061627531e+00, 1.049626198596503812e+01, 1.587481865712530116e+01
3.100000000000000000e+01, 1.147272702500814567e+01, 5.143354638416211877e+00, 7.018120240006672894e+00, 1.466489310027562887e+01
3.200000000000000000e+01, 1.577479541966286725e+01, 1.787764310798803535e+01, 6.035827620685460637e+00, 2.023972201538944660e+01
3.300000000000000000e+01, 8.864620013129931309e+00, 7.181951166682059906e+00, 1.199626363069831747e+01, 1.246840521822785242e+01
3.400000000000000000e+01, 2.245046196567950858e+01, 9.924993661894415453e+00, 8.424279201232529601e+00, 1.367652444472214057e+01
3.500000000000000000e+01, 1.615086474166289676e+01, 4.292017385113089389e+00, 5.741136224713317304e+00, 6.141093220835474931e+00
3.600000000000000000e+01, 1.975076805497685228e+01, 1.850871963124873076e+01, 9.546009262620675173e+00, 1.560013121169892258e+01
3.700000000000000000e+01, 1.339028171155383973e+01, 1.493239915232185311e+01, 1.727243182394854770e+01, 2.036358044515453258e+01
